Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"The initial list of interested parties that was imported into the Portal from the County’s SGMA email interest list included 290 entries. To support the diversity of elements and ensure we engage with potentially underrepresented communities on the list, the groups below will be given focused attention when choosing venues and tools for engagement.

Tribal Governments. Per SGMA §10720.3(c), any federally recognized Indian tribe may voluntarily agree to participate in the planning, financing, and management of groundwater basins. There are no federally recognized Native American tribes within the geographic boundaries of the San Luis Obispo Valley Basin. However, the Northern Chumash Tribal Council community encompasses the County area. Therefore, the San Luis Obispo Valley GSAs will refer to DWR’s Engagement with Tribal Governments Guidance Document and will contact the tribal representative to invite participation in GSP development.

Communications about GSP development will be sent only in digital format. For those who don’t have access online or prefer to receive direct postal mailings, the agenda and agenda packet will be mailed to those who request it. There may be times when a direct postal mailing is appropriate. The County sent a mailer in May 2019 to provide information about the next two Commission meetings. The mailer also includes a request form for the recipient to fill out and return to the County if he/she desires to receive notification of future events via postal mail. A copy of the mailer is provided as Appendix E.

Given previous outreach efforts within City limits, the City does not believe a direct mail piece would be effective in reaching community members or the DAC population. To reach these community members, the City plans to direct outreach efforts for SGMA meetings to online resources, public events such as a Farmer’s Market, and with outreach at several City kiosks at City facilities including the finance office where utility bills are paid, the parks and recreation department where after-school programs are coordinated, and at other City facilities such as the Senior Citizens Center. 

Stakeholder workshops are designed to create opportunities for stakeholders and other interested parties to provide meaningful input during GSP chapter development. The workshop schedule is aligned with the GSP development schedule (Appendix D) for this purpose. The workshops will be led by technical experts such as consultants or GSA staff. Workshop dates will vary based on when input is deemed most useful. Suggestions for optimizing the benefit of the workshops are listed below. • Choose workshop venues, dates, and times to maximize stakeholder participation. •Use the Portal to inform interested parties about workshops during GSP development.

Regular meetings of the Groundwater Sustainability Commission provide an opportunity for City andCounty staff, participating parties, and their consultants to present updates on the status of GSP development. Meetings are scheduled every three months (quarterly). See the GSP development schedule (Appendix D) for planned dates. An interested party may sign up on the emailing list using the Portal to receive updates on meeting dates and times. Meetings of the Groundwater Sustainability Commission are subject to the Brown Act and are open to the public.

The general process for establishing minimum thresholds and measurable objectives for the SMC and assessing significant and unreasonable conditions constituting undesirable results in the Basin was iterative and included the following: • Evaluating historical data on groundwater elevations from wells monitored by the City and County. • Evaluating water budget information presented in Chapter 6, including sustainable yield estimates and average deficits for the San Luis Valley and Edna Valley parts of the basin. • Holding a series of public outreach meetings that outlined the GSP development process and introduced stakeholders to SMC, MOs, MTs, and other related information. • Soliciting public comment and input on several alternative minimum threshold and measurable options based upon preliminary technical analysis presented at GSC meetings and the five guiding principles agreed upon. • Evaluating public comment to assess what are significant and unreasonable effects relevant to SMC. Public comments from outreach meetings were analyzed to assess if different areas in the Basin had different perspectives for what constitutes an undesirable result in the Basin and how minimum thresholds and measurable objectives are established. • Combining public comment, outreach efforts, hydrogeologic data and considering the interests of beneficial uses and groundwater users, land uses, and property interests in the Basin to describe undesirable results and setting preliminary conceptual MTs and MOs. • Performing groundwater model simulations that incorporate projects and management actions discussed in Chapter 9 to assess if the SMC are achievable. • Conducting public meetings to present recommended preliminary conceptual minimum thresholds and measurable objectives that are technically sound and reasonable, and receiving additional public input. Presentations and discussion of SMCs occurred at eleven meetings in the Basin between March 2020 and May 2021. • Reviewing and considering public and GSC input on recommended preliminary SMCs with GSA staff. • GSC recommended final SMCs to GSAs for approval. A number of alternative options for both MTs and MOs were considered for each RMS after evaluation of the historical record of groundwater elevations at each well, assessment of trends of groundwater elevation decline (where applicable), and input from stakeholders regarding their desired conditions. Details regarding the specific SMCs for each Sustainability Indicator are included in the following sections of this chapter describing each indicator.","Appendix E, C&E Plan, Page 13,14, 15
Page 8-6","1. Tribes on the Map? (yes/no): No map is provided, Mention Tribes in the C&E text, claiming they are not federally recognized but still followed DWR's guidance and communicated with them. 
2. If yes, which level of engagment: 
Engagement= Inform with the intention to collaborate 
3. Evidence/strategies listed for level of engagement:
The GSA follows DWR's Guidance on engaging Tribes by stating that interested Tribal stakeholders have the opportunity to participate in the GSP development even if they are not considered federally recongized. 

GSP also outlines and documents how all stakeholders were given the opportunity to engage during the development of the SGMA Criteria process of estabishing minimum thresholds, measurable objectives, and identifying undesirable results.",
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Environmental users of groundwater: 
Central Coast Salmon Enhancement
The Nature Conservacy 

Stakeholder workshops are designed to create opportunities for stakeholders and other interested parties to provide meaningful input during GSP chapter development. The workshop schedule is aligned with the GSP development schedule (Appendix D) for this purpose. The workshops will be led by technical experts such as consultants or GSA staff. Workshop dates will vary based on when input is deemed most useful. Suggestions for optimizing the benefit of the workshops are listed below. • Choose workshop venues, dates, and times to maximize stakeholder participation. •Use the Portal to inform interested parties about workshops during GSP development.

Regular meetings of the Groundwater Sustainability Commission provide an opportunity for City andCounty staff, participating parties, and their consultants to present updates on the status of GSP development. Meetings are scheduled every three months (quarterly). See the GSP development schedule (Appendix D) for planned dates. An interested party may sign up on the emailing list using the Portal to receive updates on meeting dates and times. Meetings of the Groundwater Sustainability Commission are subject to the Brown Act and are open to the public.

The general process for establishing minimum thresholds and measurable objectives for the SMC and assessing significant and unreasonable conditions constituting undesirable results in the Basin was iterative and included the following: • Evaluating historical data on groundwater elevations from wells monitored by the City and County. • Evaluating water budget information presented in Chapter 6, including sustainable yield estimates and average deficits for the San Luis Valley and Edna Valley parts of the basin. • Holding a series of public outreach meetings that outlined the GSP development process and introduced stakeholders to SMC, MOs, MTs, and other related information. • Soliciting public comment and input on several alternative minimum threshold and measurable options based upon preliminary technical analysis presented at GSC meetings and the five guiding principles agreed upon. • Evaluating public comment to assess what are significant and unreasonable effects relevant to SMC. Public comments from outreach meetings were analyzed to assess if different areas in the Basin had different perspectives for what constitutes an undesirable result in the Basin and how minimum thresholds and measurable objectives are established. • Combining public comment, outreach efforts, hydrogeologic data and considering the interests of beneficial uses and groundwater users, land uses, and property interests in the Basin to describe undesirable results and setting preliminary conceptual MTs and MOs. • Performing groundwater model simulations that incorporate projects and management actions discussed in Chapter 9 to assess if the SMC are achievable. • Conducting public meetings to present recommended preliminary conceptual minimum thresholds and measurable objectives that are technically sound and reasonable, and receiving additional public input. Presentations and discussion of SMCs occurred at eleven meetings in the Basin between March 2020 and May 2021. • Reviewing and considering public and GSC input on recommended preliminary SMCs with GSA staff. • GSC recommended final SMCs to GSAs for approval. A number of alternative options for both MTs and MOs were considered for each RMS after evaluation of the historical record of groundwater elevations at each well, assessment of trends of groundwater elevation decline (where applicable), and input from stakeholders regarding their desired conditions. Details regarding the specific SMCs for each Sustainability Indicator are included in the following sections of this chapter describing each indicator.","Appendix A, Page 3
Appendix E Page 13, 14
Page 8-6","
1. Who are the stakeholders?
GSP lists Central Coast Salmon Enhancement and The Nature Conservacy as environmental beneficial users

2. Which level of engagment:
Engagement=Inform
GSP does not include targetted engagement for environmental users, only provides an overview of engagement opportunities available to ALL stakeholders listed. 

3. Evidence/strategies listed for level of engagement:
Lists opportunities to enage in stakeholder workshops, meetings and surveys. 

GSP also outlines and documents how all stakeholders were given the opportunity to engage during the development of the SGMA Criteria process of estabishing minimum thresholds, measurable objectives, and identifying undesirable results.",
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Given previous outreach efforts within City limits, the City does not believe a direct mail piece would be  effective in reaching community members or the DAC population. To reach these community members, the City plans to direct outreach efforts for SGMA meetings to online resources, public events such as a  Farmer’s Market, and with outreach at several City kiosks at City facilities including the finance office where utility bills are paid, the parks and recreation department where after-school programs are coordinated, and at other City facilities such as the Senior Citizens Center.

The activities identified in this C&E Plan are designed to meet the goals and objectives identified in Section 2. Below, Table 3 lists tasks compiled from the contents of this C&E Plan. This is a working list that will be modified and updated as needed throughout GSP development. Like the list above, this C&E Plan is a living document to be updated as needed throughout GSP development. Successful use and implementation of the task list and C&E Plan will indicate success.
","Appendix E, C&E Page 15, 17
Table 3 (Page 17)","GSP documents outreach stategies for DACs in the Basin to effectively reach DAC members that have proven to work during development and have the intention of continuing in implementation. The GSP also lists outreach and engagement stategies in Table 3 on page 17 of Appendix E, applicable to all stakeholders. 

Engagement = Inform ",
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"The activities identified in this C&E Plan are designed to meet the goals and objectives identified in Section 2. Below, Table 3 lists tasks compiled from the contents of this C&E Plan. This is a working list that will be modified and updated as needed throughout GSP development. Like the list above, this C&E Plan is a living document to be updated as needed throughout GSP development. Successful use and implementation of the task list and C&E Plan will indicate success.

Tribal Governments. Per SGMA §10720.3(c), any federally recognized Indian tribe may voluntarily agree to participate in the planning, financing, and management of groundwater basins. There are no federally recognized Native American tribes within the geographic boundaries of the San Luis Obispo Valley Basin. However, the Northern Chumash Tribal Council community encompasses the County area. Therefore, the San Luis Obispo Valley GSAs will refer to DWR’s Engagement with Tribal Governments Guidance Document and will contact the tribal representative to invite participation in GSP development.","Appendix E, Page 17
Table 3 (page 17)","Table 3 on Page 17 of Appendix E identifies outreach and engagement activities that have been set as goals during development for implementation. The GSP does not provide specific forms of outreach for Tribes during implementation, only mention during development. Outreach during implementation can be applicable to ALL stakeholders listed. 

Engagement = Inform",
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"The activities identified in this C&E Plan are designed to meet the goals and objectives identified in Section 2. Below, Table 3 lists tasks compiled from the contents of this C&E Plan. This is a working list that will be modified and updated as needed throughout GSP development. Like the list above, this C&E Plan is a living document to be updated as needed throughout GSP development. Successful use and implementation of the task list and C&E Plan will indicate success.","Appendix E, Page 17
Table 3 (page 17)","The GSP lists outreach and engagement stategies applicable to all stakeholders. There is no specific targeted outreach for environmental stakeholders. 

Engagement = Inform",
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"The outreach activities conducted to support GSP development are documented in Appendix E. A Communication and Engagement Plan (C&E Plan) was executed and includes the planned activities for engaging interested parties in SGMA implementation efforts in the San Luis Obispo Valley Basin (Appendix E). Appendix E includes a Communications and Engagement Implementation Workplan for SLO Basin GSP. The workplan details the target stakeholder categories, developed outreach goals and evaluation metrics, identified communication priorities schedule, and described the outreach tools and materials that were used throughout the GSP development.",Appendix E,Appendix E serves as the C&E Plan for the SLO Basin. ,
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,Disadvantaged Communities. The City is recognized as a Disadvantaged Community (DAC).5,"Appendix E, Page 13","1. Location on the map? (yes/no) No map is provided.
2. Identified by name? (yes/no) Identified as city name
3. DAC places, tracks, or block data used in map? No Map provided
Does not specify which was used, does reference DWR's DAC Mapping Tool. ",
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Somewhat,"3.3.2. Tribal Jurisdiction
The two prominent Native American tribes in the County are the Obispeño Chumash and Salinan Indian Tribes. The Chumash occupied the coast between San Luis Obispo and northwestern Los Angeles County, inland to the San Joaquin Valley. They were divided into two broad groups, of which the Obispeño were the northern group. The Salinan were northern neighbors of the Chumash, and although the presence of a firm boundary between the Chumash and the Salinan is uncertain, ethnographic accounts have placed Salinan territories in the northern portion of the County. However, these two tribes do not have any recognized tribal land in the SLO Basin.",3-3,"1. Tribal lands identified? (yes/no)
Yes
2. Tribal lands mapped? (yes/no)
NO
2 Yeses = Yes, 1 Yes = somewhat",
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. What is the size of the population for each DAC?
There is no reference to DAC population, briefly mentions the  word ""population"" but does not provide any data. ",
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,"It is also important to note that both the DWR and EHS well databases are not updated with information regarding well status and the well locations are not verified in the field. Therefore, it is uncertain whether the wells in these databases are currently active or have been abandoned or destroyed.","Table 7-1, Page 7-6 
Table 8-2
Page 3-11
Table 3-5","1. Does the map include depth by location?

Figure 3-5 serves as a map showing domestic well density. 
Table 7-1 shows the groundwater level monitoring network data which includes 5 domestic wells and includes depth of those 5 domestic wells as well. The GSP also documents the water levels of domestic wells at different depths, the number of wells present as well as how many went dry during the 2015 drought. 

Also included is brief text possibly describing why well locations are not verified and specific depths for all wells are not provided either. ",
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 3-5, Figure 3-6, and Figure 3-7 show the density of wells in the SLO Basin by their types of use.","3-11
Fgure 3-5 (Page 3-12)","1. How are domestic wells mapped (density/point/none)?

Density map of Domestic wells is provided per Figure 3-5. ",
Sara,,,All,NA,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Somewhat,"The distribution and concentration of several constituents of concern are discussed in the following subsections. Groundwater quality data was evaluated from the SDWIS and GeoTracker GAMA datasets. The data reviewed includes 2,884 sampling events from 403 wells in the Basin, collected between June 1953 and June 2019. Each of the constituents are compared to their drinking waterstandard, if applicable, or their Basin Plan Median Groundwater Quality Objective (RWQCB Objective) (Regional Water Quality Control Board, Central Coast Region, 2017). This GSP focuses only onconstituents that might be impacted by groundwater management activities. The constituentsdiscussed below are chosen because they have either a drinking water standard, a known effect on crops, or concentrations have been observed above either the drinking water standard or the level that affects crops. 
TDS is a constituent of concern in groundwater because it has been detected at concentrations greater than its RWQCB Basin Objective of 900 mg/l in the Basin. The TDS Secondary MCL has been established for color, odor and taste, rather than human health effects. This Secondary MCL includes a recommended standard of 500 mg/L, an upper limit of 1,000 mg/L and a short-term limit of 1,500 mg/l. TDS water quality results ranged from 180 to 3,100 mg/l with an average of 727 mg/l and a median of 613 mg/l. &&&
Nitrate is a constituent of concern in groundwater because it has been detected at concentrations greater than its RWQCB Basin Objectives of 5 mg/l (as N) in the Basin. The Nitrate MCL has been established at 10 mg/l (as N). Overall, nitrate water quality results ranged from below the detection limit to 80 mg/l (as N) with an average of 3.9 mg/l (as N) and a median value of 2.0 mg/l (as N).&&&
Arsenic has a Primary Drinking Water Standard withan MCL of 10 ug/l. Overall, arsenic concentrations ranged from below the detection limit to 28 ug/l, withan average value of 2.5 ug/l and a median value of 2 ug/l.&&&
Boron has been detected at concentrations greater than its RWQCB Basin Objective of 200 micrograms per liter (ug/l). Boron water quality results ranged from non-detect to 2,500 ug/l with an average of 0.16 ug/l and a median value of 0.12.&&&
5.9.3.5. Other Constituents
Other constituents found in exceedance of their respective regulatory standard include arsenic, iron, gross alpha, manganese, selenium, and sulfate. Each of these exceedances occurred in samples from a small number of wells, indicating isolated occurrences of these elevated constituent concentrations rather than widespread occurrences, affecting the entire Basin. Isolated concentrations of arsenic, iron, gross alpha, and sulfate in the Basin have been relatively consistent throughout the period of record. Selenium concentrations have generally declined since 2007. There are not enough data to determine the trend of the elevated manganese concentrations in the Basin. Sustainability projects and management actions implemented as part of this GSP are not anticipated to directly cause concentrations of any of these constituents in groundwater to increase.
 
","Page 5 / 5.9.3
Page 5 / 5.9.3.1
Table 5-1
Page 5-2 / 5.9.3.2
Page 5-4 / 5.9.3.3, 5.9.3.4, 5.9.3.5
Figure 5-18 thru 5-21","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? YES, TDS, Nitrate, Arsenic, Boron. Also, other constitutes such as sulfate, sellenium and manganese
2. Are the COC's mapped? all (beside boron)
3. Is there spatial trend data for all COC's? Somehow (all not boron)
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? Not enough data to have the elevated trend on Mandanese

They have done a great job explaining clearly the constitutes. The constitues of concern are TDS, Nitrate, Arsenic, Boron. Also, other constitutes such as sulfate, sellenium and manganese, which they claim it is from just one one location and has been consistant through time of data gathering. However map of Boron and other constitutes are missing. 
Data gathering has been from 1953 -2019",
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,"The primary groundwater users in the Basin include municipal, agricultural, and domestic (i.e., rural residential, small community water systems, and small commercial entities). These entities are discussed in more detail in Chapter 2 (Agency Information) of this report. The City currently receives most l of its supply from surface water sources including Whale Rock Reservoir, Santa Margarita Reservoir, and Nacimiento Reservoir (Figure 3-3). However, it maintains its network of production wells in standby mode for emergency supply and intends to utilize groundwater as a resource to meet future water demand. The mutual and private water companies, domestic and agricultural users in the Edna Valley rely almost exclusively on groundwater, although some have water rights along East and West Corral de Piedras Creeks. No surface water points of diversion along SLO Creek are present in the Basin.","Page 4-9
Figure 3-3 (Page 3-8)","Somewhat considering the GSP notes specific water sources for specific parts of the Basin, some previously highlighted to include DACs including the city of SLO.  Figure 3-3 also highlights specific water sources for the basin, although not DAC specific. ",
